type, event, jet, pt, mass, eta, phi, charge
0,1,3
2,1,1,1.80726,0.93957,-1.21455,1.12079,0
2,1,1,1.61255,0.49761,-0.946646,0.995849,0
2,1,1,1.0883,0.49368,-0.930145,0.82087,-1
2,1,1,4.1533,0.13957,-1.12867,0.799483,-1
2,1,1,4.32663,0.13957,-0.980235,0.556725,1
2,1,1,6.18009,0.10566,-0.979637,0.806805,-1
2,1,1,4.87281,0.49761,-0.953009,0.775818,0
2,1,1,1.16129,3.65002e-08,-1.04082,0.787936,0
2,1,1,1.60846,-2.10734e-08,-1.09167,0.613832,0
2,1,1,18.5872,0.13957,-1.07371,0.63063,-1
2,1,1,25.442,0.13957,-1.07511,0.649412,1
2,1,1,6.198,0.13957,-1.00484,0.611906,1
2,1,1,7.29547,0.13957,-1.07139,0.685374,-1
2,1,1,15.1698,0.49761,-1.03898,0.646414,0
2,1,1,1.97852,-5.96046e-08,-1.05373,0.679306,0
2,1,1,19.7161,0.93827,-1.02242,0.744479,1
2,1,1,2.72193,0.13957,-0.985319,0.756493,-1
2,1,1,24.8832,0.13957,-0.961865,0.668795,1
2,1,1,15.8249,0.13957,-0.961008,0.691607,-1
2,1,1,2.30925,-2.98023e-08,-1.02104,0.722166,0
2,1,1,5.29147,-1.57699e-07,-0.986096,0.722582,0
2,1,1,19.9824,0.93827,-1.00524,0.71333,-1
2,1,1,3.46469,-7.30005e-08,-0.975883,0.706736,0
2,1,1,6.29517,0.13957,-0.999866,0.685746,1
2,1,1,5.97701,8.42937e-08,-0.999681,0.699095,0
2,1,1,27.1433,0.49368,-0.991206,0.694154,1
2,1,1,4.02049,0.13957,-0.985631,0.691184,-1
1,1,1,238.592,24.8045,-1.0175,0.693033,0.142821
2,1,2,1.45384,0.13957,-0.13728,3.837,-1
2,1,2,1.36963,0.13957,0.13526,3.53732,1
2,1,2,2.79097,2.98023e-08,0.430367,3.86929,0
2,1,2,4.74368,5.96046e-08,0.0454729,3.66698,0
2,1,2,2.2482,2.98023e-08,0.0539922,3.80796,0
2,1,2,1.05046,-2.58096e-08,0.169497,3.66808,0
2,1,2,2.09143,-5.16191e-08,0.11459,3.74074,0
2,1,2,1.2831,-1.49012e-08,0.131062,3.78864,0
2,1,2,3.72841,0.13957,0.151828,3.72115,-1
2,1,2,2.08912,2.98023e-08,0.297055,3.74399,0
2,1,2,2.06743,4.21468e-08,0.214339,3.71193,0
2,1,2,4.43545,5.96046e-08,0.254483,3.84401,0
2,1,2,9.14023,1.68587e-07,0.183797,3.80037,0
2,1,2,14.9267,0.13957,0.219017,3.8111,-1
2,1,2,9.01452,0.13957,0.204969,3.78194,1
2,1,2,9.26825,0.13957,0.263333,3.78963,1
2,1,2,6.49092,1.19209e-07,0.273954,3.77245,0
2,1,2,8.12202,0.13957,0.238882,3.79047,-1
2,1,2,20.746,-2.38419e-07,0.24112,3.75194,0
2,1,2,11.4725,0,0.237141,3.75973,0
2,1,2,1.03314,0.93957,1.22504,3.53882,0
2,1,2,1.22782,0.13957,1.10666,4.00753,1
2,1,2,1.62622,0.93827,1.10968,3.60111,1
2,1,2,1.21523,0.13957,0.976152,3.67083,1
2,1,2,1.46609,0.13957,0.756325,4.12818,1
2,1,2,1.97362,4.21468e-08,0.881977,3.82882,0
2,1,2,2.82943,0.13957,0.845796,3.83856,-1
2,1,2,2.47017,0.13957,0.705516,3.97685,-1
2,1,2,1.4161,-7.30005e-08,0.753545,3.81776,0
2,1,2,3.95715,0.13957,0.565621,3.88543,-1
2,1,2,7.10292,0.13957,0.617961,3.7999,-1
2,1,2,3.52252,0.13957,0.712501,3.94227,1
2,1,2,1.26623,2.98023e-08,0.692918,3.81196,0
2,1,2,9.18469,0.13957,0.686641,3.92535,1
2,1,2,8.90552,-2.92002e-07,0.636735,3.83834,0
2,1,2,2.51934,-8.42937e-08,0.664814,3.83348,0
2,1,2,18.581,-2.38419e-07,0.655774,3.86066,0
2,1,2,35.5931,0.13957,0.677851,3.88471,-1
2,1,2,5.92416,0.13957,0.667694,3.88485,1
1,1,2,229.679,63.9696,0.463581,3.81948,-0.157868
2,1,3,1.4855,0.13957,0.901,6.00424,1
2,1,3,1.77665,0.13957,0.679469,5.87012,1
2,1,3,2.2431,0.13957,0.744963,5.95668,-1
2,1,3,2.09139,0.13957,0.55683,5.96853,-1
2,1,3,2.72792,0.13957,0.456872,6.2422,-1
2,1,3,3.31626,0.13957,0.591801,6.26165,1
2,1,3,2.14753,0.13957,0.599585,6.17789,-1
2,1,3,1.83301,0.13957,0.526324,6.14477,1
2,1,3,3.32529,0.49368,0.558071,6.16357,-1
1,1,3,20.7676,4.02953,0.614647,6.11152,-0.196873
#
0,2,3
2,2,1,1.21226,3.94248e-08,1.22097,2.01671,0
2,2,1,1.82538,0.13957,0.65318,2.09732,-1
2,2,1,2.20349,0.13957,0.702641,1.55313,1
2,2,1,2.3071,0.13957,0.699367,1.71842,-1
2,2,1,2.52148,8.42937e-08,0.804811,1.67503,0
2,2,1,1.05509,3.332e-08,0.839696,1.95047,0
2,2,1,2.47021,0.13957,0.933659,1.68925,-1
2,2,1,3.98737,-1.57699e-07,0.939409,1.6951,0
2,2,1,2.06358,2.98023e-08,0.831031,1.71698,0
2,2,1,6.41681,0.13957,0.990067,1.83086,1
2,2,1,1.92272,5.96046e-08,0.948682,1.88753,0
2,2,1,4.4563,0.49368,0.82976,1.73172,1
2,2,1,1.79839,-7.88495e-08,0.933515,1.88919,0
2,2,1,5.37781,0.13957,0.978403,1.82036,1
2,2,1,3.89842,0.13957,0.954471,1.84574,-1
2,2,1,4.00621,0.13957,0.937261,1.84193,-1
2,2,1,7.79398,0.13957,0.938496,1.83578,1
2,2,1,5.4073,1.3328e-07,0.938053,1.81656,0
2,2,1,23.2224,0,0.935132,1.80818,0
2,2,1,1.53666,2.98023e-08,0.938177,1.80969,0
2,2,1,2.89968,1.19209e-07,0.920833,1.77922,0
2,2,1,6.87,-2.06477e-07,0.925176,1.79438,0
2,2,1,3.55834,0,0.813145,1.77043,0
2,2,1,2.12296,0.13957,0.894717,1.7653,-1
2,2,1,6.58802,-1.46001e-07,0.840184,1.76364,0
2,2,1,3.91411,0.13957,0.884951,1.85218,-1
2,2,1,2.7498,0,0.904826,1.82757,0
2,2,1,5.74437,0.13957,0.857335,1.85023,1
2,2,1,12.0485,0.93957,0.833203,1.79335,0
2,2,1,2.53913,6.664e-08,0.856958,1.76995,0
2,2,1,14.492,5.59141e-07,0.88936,1.80729,0
2,2,1,5.37155,1.57699e-07,0.874246,1.80966,0
2,2,1,23.132,0.93957,0.870154,1.80062,0
2,2,1,19.6534,0.13957,0.856727,1.81374,1
2,2,1,22.8583,0.13957,0.858686,1.80676,1
1,2,1,219.699,19.5165,0.888552,1.80361,0.245245
2,2,2,2.12029,0.13957,-1.13916,4.5995,-1
2,2,2,1.30101,0,-1.05511,4.68184,0
2,2,2,1.6828,8.9407e-08,-1.19522,4.67916,0
2,2,2,2.06396,0.13957,-1.62436,5.07854,-1
2,2,2,1.31619,-1.49012e-08,-1.0666,4.77989,0
2,2,2,3.10013,0.49368,-1.25888,4.7177,1
2,2,2,2.34844,0.13957,-1.5512,5.19533,1
2,2,2,2.61327,0.13957,-1.32928,4.79457,1
2,2,2,9.37963,0.93827,-1.27663,4.82192,-1
2,2,2,1.87093,0.13957,-1.27619,4.81952,-1
2,2,2,14.0155,0.93827,-1.22549,4.84345,1
2,2,2,8.85054,0.93827,-1.36666,4.94943,-1
2,2,2,3.86204,0.13957,-1.40068,5.01632,-1
2,2,2,2.1094,0.13957,-1.39967,5.12159,1
2,2,2,2.11335,0.13957,-1.38285,5.11326,1
2,2,2,9.49056,0.13957,-1.1806,5.15752,1
2,2,2,1.69352,0.13957,-1.22938,5.17347,-1
2,2,2,3.95636,2.02129e-07,-1.21716,5.12561,0
2,2,2,3.93343,-5.96046e-08,-1.25136,5.12669,0
2,2,2,3.55104,-1.1151e-07,-1.24157,5.11052,0
2,2,2,18.7644,0.49761,-1.28683,5.11008,0
2,2,2,102.008,0.93827,-1.2642,5.10067,1
2,2,2,7.55771,0.13957,-1.26172,5.09679,-1
1,2,2,208.048,31.3624,-1.28,5.04474,0.478775
2,2,3,2.3462,0.49368,0.806478,3.69902,1
2,2,3,1.76528,0.13957,0.53479,3.81215,1
2,2,3,11.8988,0.13957,0.535326,3.69542,-1
2,2,3,6.41176,0.13957,0.672816,3.76411,1
2,2,3,8.9042,2.6656e-07,0.62966,3.73145,0
1,2,3,31.3085,3.26316,0.612642,3.72656,-0.0439119
#
0,3,2
2,3,1,3.39166,0,0.435832,3.26178,0
2,3,1,3.23292,4.21468e-08,0.396093,3.27085,0
2,3,1,1.77052,0.13957,0.409738,3.27249,1
2,3,1,3.97221,0.49761,0.49807,3.27283,0
2,3,1,1.26458,2.58096e-08,0.690854,3.32335,0
2,3,1,2.10628,0.13957,0.271404,3.38266,-1
2,3,1,2.79581,0.13957,0.886386,3.94971,1
2,3,1,1.14413,0.13957,0.290531,3.77253,-1
2,3,1,5.57198,0.49761,0.381489,3.91406,0
2,3,1,3.24199,0.49368,0.678545,3.8242,1
2,3,1,1.05391,-1.49012e-08,0.385818,3.85796,0
2,3,1,6.31334,0.13957,0.498839,3.91296,-1
2,3,1,4.43414,-1.46001e-07,0.500114,3.88469,0
2,3,1,3.55853,0.13957,0.468865,3.6398,1
2,3,1,10.5273,1.68587e-07,0.448285,3.81435,0
2,3,1,1.76426,-3.65002e-08,0.443353,3.77739,0
2,3,1,5.7779,0.13957,0.436066,3.77857,-1
2,3,1,10.5622,0.13957,0.440272,3.78411,-1
2,3,1,10.1448,0.13957,0.467457,3.81317,1
2,3,1,1.11466,0.13957,0.484586,3.81262,-1
2,3,1,3.72569,-4.21468e-08,0.482436,3.80949,0
2,3,1,13.7814,-4.4604e-07,0.473025,3.79317,0
2,3,1,6.18075,0.49761,0.499353,3.81222,0
