type, event, jet, pt, mass, eta, phi, charge
0,1,3
2,1,1,2.27235,0.49761,0.342174,3.68079,0
2,1,1,1.09231,0.13957,0.855642,3.96651,1
2,1,1,1.08773,0.13957,1.04686,3.45583,1
2,1,1,7.43149,0.13957,0.708166,3.40285,-1
2,1,1,11.6825,0.13957,0.807764,3.37771,1
2,1,1,4.31417,0.13957,0.769675,3.45308,1
2,1,1,16.0747,9.83025e-07,0.806074,3.53759,0
2,1,1,45.6923,2.6974e-06,0.804046,3.53304,0
2,1,1,20.8623,-1.3487e-06,0.806182,3.52857,0
2,1,1,9.62566,0.13957,0.811535,3.52736,1
2,1,1,35.6347,-2.4314e-06,0.809297,3.53241,0
2,1,1,44.8312,0.13957,0.813467,3.53271,-1
1,1,1,200.27,17.2234,0.802097,3.52046,-0.121935
2,1,2,1.8951,0.13957,0.694652,0.896509,1
2,1,2,168.27,0.13957,0.826778,0.61733,-1
2,1,2,16.6935,0.13957,0.811,0.622005,1
1,1,2,186.786,6.01278,0.824353,0.620544,-0.801042
2,1,3,2.19438,0.93827,-0.288891,6.05675,-1
2,1,3,2.26457,0.13957,-0.57577,5.76876,1
2,1,3,3.11169,0.13957,-0.450453,5.93504,-1
2,1,3,1.21326,0.13957,-0.494379,5.69213,-1
2,1,3,1.77246,0.13957,-0.1834,5.63227,-1
2,1,3,1.6188,0.13957,-0.249876,5.69428,1
2,1,3,5.12084,0.93957,-0.267803,5.681,0
2,1,3,1.04533,0.13957,-0.312064,5.88078,1
2,1,3,1.65049,-2.98023e-08,-0.210576,5.78224,0
2,1,3,3.48466,0.13957,-0.250131,5.77295,-1
2,1,3,1.04716,0.13957,-0.233862,5.78033,1
2,1,3,4.74191,0.13957,-0.28825,5.81555,-1
2,1,3,6.48398,0,-0.328046,5.7615,0
2,1,3,1.35617,3.332e-08,-0.369171,5.78101,0
1,1,3,36.9207,7.17447,-0.321881,5.7848,-0.284121
#
0,2,1
2,2,1,1.09617,0.93827,-1.13218,4.81549,-1
2,2,1,2.94978,0.93827,-0.553402,4.72777,1
2,2,1,3.92604,0.13957,-0.59197,4.38691,1
2,2,1,3.78918,0.93957,-0.644534,4.47149,0
2,2,1,2.20215,4.21468e-08,-0.436836,4.60783,0
2,2,1,14.3449,0.13957,-0.432703,4.54437,1
2,2,1,6.00657,0.13957,-0.433206,4.51193,-1
2,2,1,11.1134,0.93957,-0.497735,4.57672,0
2,2,1,1.568,-3.65002e-08,-0.486962,4.5397,0
2,2,1,1.66414,0.13957,-0.59057,4.56694,1
2,2,1,6.12493,0.13957,-0.582973,4.53871,1
2,2,1,5.76655,1.88486e-07,-0.558554,4.52241,0
2,2,1,14.6466,0.93827,-0.542058,4.53993,-1
1,2,1,75.0348,12.9857,-0.528136,4.54501,0.0965511
#
0,3,5
2,3,1,11.859,0.13957,-0.816868,5.62562,1
2,3,1,15.2237,-9.68461e-07,-0.850846,5.57796,0
2,3,1,3.26834,-2.30848e-07,-0.869932,5.57659,0
2,3,1,11.9958,0.13957,-0.87769,5.5477,1
2,3,1,1.93425,2.95028e-07,-0.798268,5.54979,0
2,3,1,10.3366,0,-0.850306,5.49372,0
2,3,1,3.76515,0.13957,-0.814416,5.50149,-1
2,3,1,3.28667,4.82393e-07,-0.751949,5.52295,0
2,3,1,2.63038,0.13957,-0.829921,5.45897,-1
2,3,1,7.05798,0.13957,-0.826873,5.34622,1
2,3,1,4.20348,0.13957,-0.675368,5.35259,-1
2,3,1,70.9545,0.13957,-0.629951,5.24511,1
2,3,1,109.048,0.13957,-0.640824,5.24443,-1
1,3,1,253.223,41.8758,-0.702084,5.32673,-0.0695685
2,3,2,2.37658,-8.9407e-08,-0.188378,2.56018,0
2,3,2,106.504,0.49368,-0.180041,2.54843,-1
2,3,2,126.434,0.49368,-0.180662,2.5494,1
1,3,2,235.314,1.05608,-0.180459,2.54907,0.0846937
2,3,3,1.90522,0.13957,2.35625,0.453377,-1
2,3,3,1.72418,0.13957,2.34883,0.738991,1
2,3,3,2.32545,0.13957,2.54477,0.790078,-1
2,3,3,2.78074,0.93827,2.45529,1.03601,1
2,3,3,4.82058,0.13957,2.36702,0.940211,1
2,3,3,3.05804,0.49368,2.53707,0.920591,-1
2,3,3,18.4148,0.49761,2.47886,0.890431,0
2,3,3,1.43804,0.13957,2.38072,0.895187,-1
2,3,3,3.61801,0.13957,2.36454,0.905767,-1
1,3,3,39.8405,6.65334,2.45476,0.877837,-0.0753214
2,3,4,5.3918,5.96046e-08,-0.575058,0.308625,0
2,3,4,4.68996,1.19209e-07,-0.520455,0.244506,0
2,3,4,2.90237,5.96046e-08,-0.499922,0.274787,0
2,3,4,9.89641,0.13957,-0.411207,0.219126,-1
2,3,4,5.03603,0.13957,-0.454453,0.244245,1
2,3,4,6.48063,0.49368,-0.456092,0.225745,1
1,3,4,34.3805,2.53982,-0.474999,0.246231,0.0471041
2,3,5,2.14902,-2.69872e-07,-2.15616,2.88813,0
2,3,5,2.10656,0.13957,-1.95474,2.31372,-1
2,3,5,1.66451,0.13957,-2.05816,2.362,1
2,3,5,2.46731,0.93957,-2.13879,2.49842,0
2,3,5,1.55886,8.1617e-08,-2.29275,2.75189,0
2,3,5,3.19593,0.93827,-2.17626,2.4346,-1
2,3,5,1.72087,0.13957,-2.6852,2.67973,-1
2,3,5,1.63609,3.5451e-07,-2.61481,2.67397,0
2,3,5,2.7507,0.13957,-2.26337,2.32609,1
2,3,5,1.37799,2.19508e-07,-2.56658,2.59809,0
2,3,5,4.49782,4.04258e-07,-2.56105,2.46474,0
2,3,5,2.29694,-1.36571e-07,-2.43898,2.28603,0
2,3,5,1.76818,0.13957,-2.40413,2.36776,1
